address,name,rssi,txPower,isConnectable,local_x,local_y,local_z,latitude,longitude,timestamp,rawData
05:7A:17:32:4F:C4,,-88,127,False,-0.03329326,-0.3802255,7.808787,39.7221336364746,-105.182762145996,111.925483703613,05:7A:17:32:4F:C4||-88|127|false|UNKNOWN|1|0|255|0|6:AQkgImi8Y31aXlCQLQdnjPcDwkKjA6pOPgLC||||Hv8GAAEJICJovGN9Wl5QkC0HZ4z3A8JCowOqTj4CwgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122256
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-51,127,False,-0.03896923,-0.3796925,7.819152,39.7221336364746,-105.182762145996,111.958763122559,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-51|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122297
33:D6:7C:E5:FD:C5,,-67,127,False,-0.05112598,-0.3788917,7.84068,39.7221336364746,-105.182762145996,112.025329589844,33:D6:7C:E5:FD:C5||-67|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122347
05:7A:17:32:4F:C4,,-87,127,False,-0.05112598,-0.3788917,7.84068,39.7221336364746,-105.182762145996,112.025329589844,05:7A:17:32:4F:C4||-87|127|false|UNKNOWN|1|0|255|0|6:AQkgImi8Y31aXlCQLQdnjPcDwkKjA6pOPgLC||||Hv8GAAEJICJovGN9Wl5QkC0HZ4z3A8JCowOqTj4CwgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122358
0D:24:F1:43:F3:99,,-65,127,False,-0.05565117,-0.3775342,7.849946,39.7221336364746,-105.182762145996,112.058624267578,0D:24:F1:43:F3:99||-65|127|false|UNKNOWN|1|0|255|0|76:CQYDpsCoDGo=|||26|AgEaC/9MAAkGA6bAqAxqAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122407
52:7E:30:E9:82:4B,,-88,127,True,-0.06204225,-0.3768782,7.860289,39.7221336364746,-105.182762145996,112.091911315918,52:7E:30:E9:82:4B||-88|127|true|UNKNOWN|1|0|255|0|76:EAYeGl+6WZkBAAAAAAAAAAAAAAAAgAAAAA==|||26|AgEaAgoMC/9MABAGHhpfulmZFP9MAAEAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122427
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-59,127,False,-0.06204225,-0.3768782,7.860289,39.7221336364746,-105.182762145996,112.091911315918,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-59|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122437
33:D6:7C:E5:FD:C5,,-71,127,False,-0.06838052,-0.374986,7.868865,39.7221336364746,-105.182762145996,112.125190734863,33:D6:7C:E5:FD:C5||-71|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122452
33:D6:7C:E5:FD:C5,,-64,127,False,-0.09080132,-0.3742136,7.90079,39.7221336364746,-105.182762145996,112.225021362305,33:D6:7C:E5:FD:C5||-64|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122560
0D:24:F1:43:F3:99,,-63,127,False,-0.09182284,-0.3737679,7.910737,39.7221336364746,-105.182762145996,112.25830078125,0D:24:F1:43:F3:99||-63|127|false|UNKNOWN|1|0|255|0|76:CQYDpsCoDGo=|||26|AgEaC/9MAAkGA6bAqAxqAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122573
C9:E9:9D:0E:0C:2A,,-87,127,False,-0.09182284,-0.3737679,7.910737,39.7221336364746,-105.182762145996,112.25830078125,C9:E9:9D:0E:0C:2A||-87|127|false|UNKNOWN|1|0|255|0|76:EgIAAw==||||B/9MABICAAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122591
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-54,127,False,-0.09182284,-0.3737679,7.910737,39.7221336364746,-105.182762145996,112.25830078125,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-54|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122601
05:7A:17:32:4F:C4,,127,127,False,-0.0979039,-0.3733084,7.945193,39.7221374511719,-105.182754516602,112.358123779297,05:7A:17:32:4F:C4||127|127|false|UNKNOWN|1|0|255|0|6:AQkgImi8Y31aXlCQLQdnjPcDwkKjA6pOPgLC||||Hv8GAAEJICJovGN9Wl5QkC0HZ4z3A8JCowOqTj4CwgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122681
33:D6:7C:E5:FD:C5,,-66,127,False,-0.0979039,-0.3733084,7.945193,39.7221374511719,-105.182754516602,112.358123779297,33:D6:7C:E5:FD:C5||-66|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122668
48:18:0A:9B:45:43,,-69,127,False,-0.0979039,-0.3733084,7.945193,39.7221374511719,-105.182754516602,112.358123779297,48:18:0A:9B:45:43||-69|127|false|UNKNOWN|1|0|255|0|76:FggASdgwohaxLA==|||26|AgEaDf9MABYIAEnYMKIWsSwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122684
D1:5E:32:AD:FC:FC,,-77,127,False,-0.09803668,-0.3738336,7.9589,39.7221374511719,-105.182754516602,112.391456604004,D1:5E:32:AD:FC:FC||-77|127|false|UNKNOWN|1|0|255|0|76:EgIAAQ==||||B/9MABICAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122734
0D:24:F1:43:F3:99,,-58,127,False,-0.09896684,-0.3749895,7.97422,39.7221374511719,-105.182754516602,112.424682617188,0D:24:F1:43:F3:99||-58|127|false|UNKNOWN|1|0|255|0|76:CQYDpsCoDGo=|||26|AgEaC/9MAAkGA6bAqAxqAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122754
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-63,127,False,-0.09896684,-0.3749895,7.97422,39.7221374511719,-105.182754516602,112.424682617188,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-63|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122764
33:D6:7C:E5:FD:C5,,-63,127,False,-0.09896684,-0.3749895,7.97422,39.7221374511719,-105.182754516602,112.424682617188,33:D6:7C:E5:FD:C5||-63|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122769
33:D6:7C:E5:FD:C5,,-75,127,False,-0.0353425,-0.4952661,7.984389,39.7221450805664,-105.18270111084,173.807968139648,33:D6:7C:E5:FD:C5||-75|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402184154
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-56,127,False,-0.02632636,-0.4991773,7.955802,39.7221450805664,-105.18270111084,173.874496459961,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-56|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402184201
33:D6:7C:E5:FD:C5,,-80,127,False,-0.01306772,-0.5032395,7.920562,39.7221450805664,-105.18270111084,173.941009521484,33:D6:7C:E5:FD:C5||-80|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402184261
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),127,127,False,-0.0004038475,-0.5027855,7.864825,39.7221450805664,-105.18270111084,174.040802001953,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|127|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402184361
33:D6:7C:E5:FD:C5,,127,127,False,-0.0004038475,-0.5027855,7.864825,39.7221450805664,-105.18270111084,174.040802001953,33:D6:7C:E5:FD:C5||127|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402184369
33:D6:7C:E5:FD:C5,,-64,127,False,-0.09896153,-0.3814183,8.028293,39.7221374511719,-105.182754516602,112.524589538574,33:D6:7C:E5:FD:C5||-64|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122872
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-55,127,False,-0.09925964,-0.3854665,8.066762,39.7221374511719,-105.182754516602,112.591102600098,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-55|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122918
